Name,Food,Street,Phone,Rating
Yu Szechuan Cuisine,szechuan;chinese,"Yonge St, Toronto",+1 940-408-9442,2.4
Mabu Station,taiwanese;bubble_tea,"Yonge St, Toronto",+1 916-465-3838,4.2
Magic Noodle,chinese;noodle,"College St, Toronto",+1 848-432-7267,2.5
Korean Chinese Restaurant,korean;chinese,"College St, Toronto",+1 928-418-1735,3.0
Buk Chang Dong Soon Tofu Korean Restaurant,korean,"Yonge St, Toronto",+1 806-163-3020,2.4
Angus Pho House,vietnamese;noodle,"Yonge St, Toronto",+1 669-972-1370,4.8
Miss Fu In ChengDu,chinese,"Yonge St, Toronto",+1 976-632-3853,3.2
Wing Machine,wings;regional;pizza,"Yonge St, Toronto",+1 923-470-3564,4.7
Nile River,Falafel,"College St, Toronto",+1 948-362-6556,1.0
The Captains Boil,Ramen,"College St, Toronto",+1 984-738-6203,4.8
The Fish Store & Yunes Sandwiches,BBQ,"College St, Toronto",+1 688-428-3640,2.0
Jack and Lil's,Sushi,"Dundas St W, Toronto",+1 885-736-2899,1.5
Old School,Burger,"Dundas St W, Toronto",+1 919-674-4511,3.8
Oxtail Pho - Banh Mi & Vegetarian,Pizza,"Dundas St W, Toronto",+1 773-903-8802,1.2
Patois,BBQ,"Dundas St W, Toronto",+1 766-485-4280,2.6
Utopia,Falafel,"College St, Toronto",+1 678-339-3889,2.3
Weldon Park,Tacos,"College St, Toronto",+1 998-611-8477,2.6
Vivoli,Burger,"College St, Toronto",+1 834-823-1380,3.9
Mr Burrito / Baba Geddo,mexican;egyptian,"University Ave, Toronto",+1 693-266-9873,4.0
Dandylion,Falafel,"Queen St W, Toronto",+1 878-746-9058,1.1
The Gabardine,american,"Bay St, Toronto",+1 629-163-8522,1.7
Jin's Mi-Fen,chinese;rice_noodle,"Yonge St, Toronto",+1 743-663-6681,2.7
Kintaro Izakaya,Burger,"Church St, Toronto",+1 854-400-5511,1.5
Indian Roti House,indian,"Church St, Toronto",+1 622-390-6757,4.4
Kawa Sushi,sushi,"Church St, Toronto",+1 683-556-3740,2.5
North of Brooklyn Pizzeria,Falafel,"Church St, Toronto",+1 916-785-9218,4.8
Sambucas On Church,Ramen,"Church St, , Toronto, ON",+1 951-880-9970,4.2
Amor Fusion Doner & Kebab,Salad,"Church St, Toronto",+1 612-714-6556,4.3
Valens,grill;steak;italian,"Baldwin St, Toronto",+1 756-486-1618,1.1
Veloute Bistro,Falafel,"Queen St E, Toronto",+1 603-581-4614,1.7
Rosewood Asian cuisine,Falafel,"Queen St, Toronto",+1 659-991-3270,4.2
Beer Batter Fish N' Chips,Sushi,"Carlton St, Toronto",+1 695-956-5806,3.7
JaBistro,sushi,"Richmond St W, Toronto",+1 696-910-4337,1.5
Gonzo Izakaya,japanese,"College St, Toronto",+1 719-571-1176,3.4
Agora,greek,"Queen St W, Toronto",+1 847-820-6312,4.4
Yeah Yeah Thai,Steak,"Spadina Ave, Toronto",+1 717-503-5434,3.5
Buddha's Vegan Restaurant,chinese,"Dundas St W, Toronto",+1 715-247-8753,4.4
Golden Rice Noodle,noodle;chinese,"Yonge St, Toronto",+1 746-229-4016,4.6
Pho Com Vietnam,vietnamese,"Bay St, Toronto",+1 892-393-2603,3.1
Yummy Yok,chinese,"Queen St, Toronto",+1 929-298-7474,1.7
Sunrise Caribbean Restaurant,caribbean,"Dundas St, Toronto",+1 696-561-5151,2.2
Hanoi Restaurant,vietnamese,"Queen St W, Toronto",+1 909-850-2631,2.4
Daymi,arab,"Queen St W, Toronto",+1 664-987-6814,2.8
Lali Gurans,nepalese,"Queen St W, Toronto",+1 648-195-3306,4.0
Skadarlija Restaurant,european,"Queen St W, Toronto",+1 834-621-9803,3.9
Dave's Hot Chicken,chicken,"Queen St W, Toronto",+1 760-507-7257,4.6
The Bell and Beacon,Falafel,"Queen St W, Toronto",+1 722-548-4398,1.5
Chin Chin Street Side Kitchen,chinese,"Bay St, Toronto",+1 629-868-4350,3.5
Levetto,pizza,"Spadina Ave, Toronto",+1 904-341-7911,4.6
Sidecar Restaurant,Steak,"College St, Toronto",+1 637-332-9389,1.8
Fancy Franks Gourmet Hot Dogs,Falafel,"Parliament St, Toronto",+1 686-960-7698,2.6
Freshed Right Salad and Juice Bar,Pizza,"Gerrard St E, Toronto",+1 864-136-3747,1.8
House on Parliament,Burger,"Parliament St, Toronto",+1 856-817-2124,2.7
International Food Focus Ltd,Tacos,"Carlton St, Toronto",+1 872-586-2646,2.9
Kabab And Tikah House,Pasta,"Carlton St, Toronto",+1 976-224-4745,2.1
Kibo Sushi House,sushi,"Parliament St, Toronto",+1 806-291-4651,1.3
Kingyo,BBQ,"Winchester St, Toronto",+1 977-212-7348,3.8
New Town Restaurant,Tacos,"Parliament St, Toronto",+1 662-976-2227,4.7
Parliament Shawarma & Falafel,Tacos,"Parliament St, Toronto",+1 982-719-3059,1.5
Gustoso Panini,portuguese;italian;chicken,"Kipling Ave, Etobicoke",+1 941-811-2360,1.3
Willy's Jerk,caribbean;pork,"Kipling Ave, Etobicoke",+1 608-287-6307,2.5
Bapbo Korean Cuisine,korean,"King St, Toronto",+1 641-123-6058,2.6
The Slip,Steak,"Queens Quay W, Toronto",+1 704-319-8179,4.9
La Banane,french,"Ossington Ave, Toronto",+1 604-453-7784,4.8
Soufi's,syrian,"Queen St W, Toronto",+1 661-497-3796,4.3
The Ellery Bistro,regional,"Danforth Ave, Toronto",+1 729-508-3371,1.8
Taylor's Landing,Ramen,"Dundas St, Toronto",+1 730-128-8118,3.4
Mantra by Host,indian,"College St, Toronto",+1 883-444-3173,4.2
Mado,turkish,"Spadina Ave, Toronto",+1 806-244-7136,4.3
Pool Sides Bar and Grill,Salad,"Bay St, Toronto",+1 620-236-7689,4.5
The Keg,steak_house,"King St W, Toronto",+1 915-734-6386,2.5
Copacabana,BBQ,"Adelaide St W, Toronto",+1 934-369-8153,1.2
Hawthorne Food & Drink,Burger,"Richmond St E, Toronto",+1 801-669-7850,4.0
Leña,asian,"King St, Toronto",+1 828-789-2559,1.9
Freshii,salad,"King St E, Toronto",+1 690-608-6961,4.9
Blue Sky Restaurant and Bar,caribbean;canadian;burger,"Martin Grove Rd, Etobicoke",+1 703-420-8343,2.4
Tabule,Tacos,"Queen St E, Toronto",+1 927-875-5033,4.9
Barrio Cerveceria,mexican,"Queen St E, Toronto",+1 788-371-1905,2.5
Wilbur Mexicana,mexican,"Bay St, Toronto",+1 660-309-6693,2.3
Arepazo,Burger,"Bloor St, Toronto",+1 964-469-1193,4.7
Fresco's,Sushi,"Dundas St, Toronto",+1 968-276-2435,3.3
Sashimi Island,Sushi,"College St, Toronto",+1 778-526-4998,2.1
Pizzeria Libretto,Sushi,"King St W, Toronto",+1 793-958-4430,4.4
bbq chicken,Steak,"Yonge St, Toronto",+1 994-402-3188,1.7
Kenzo Ramen,ramen,"King St, Toronto",+1 875-314-7688,3.6
Yummy Yummy Dumplings,BBQ,"Yonge St, Toronto",+1 799-936-6710,4.2
Cheers Chicken & Beers,chicken;fried_chicken;fries,"Finch Ave W, N York",+1 686-900-5189,3.3
Huh Ga Ne,korean,"Finch Ave W, N York",+1 717-203-8143,1.1
Beijing Restaurant,chinese,"Midland Ave, Toronto",+1 963-747-2334,4.2
a! Xiang Noodle,chinese,"Midland Ave, Scarborough",+1 804-675-1897,2.0
DM Chicken,chinese,"Midland Ave, Scarborough",+1 825-834-3265,4.3
Harbin BBQ,chinese,"Midland Ave, Scarborough",+1 989-195-4535,3.2
Mr Six Fried Chicken,chinese,"Midland Ave, Scarborough",+1 890-776-1457,4.5
Shananxi Legend,chinese,"Midland Ave, Scarborough",+1 688-999-1427,4.7
Metro Pizza & Chicken,pizza;chicken;seafood,"King St, Toronto",+1 824-560-6728,4.7
Boom Breakfast & Co,BBQ,"Eglinton Ave W, Toronto",+1 719-247-3219,3.4
Gatherings Resto Bar,Salad,"St. Clair Ave W, Toronto",+1 770-752-1120,4.0
XiangLongZhuaZhua,chinese;chicken,"Ntown Way, Toronto",+1 849-126-5730,3.9
Lucky Tea,bubble_tea,"Ntown Way, Toronto",+1 996-458-9119,4.9
Alexandria Cafe,egyptian,"Lawrence Ave E, Toronto",+1 638-405-5331,2.6
Pam's Roti,caribbean,"Bloor St W, Toronto",+1 830-375-9644,1.7
Caffino,Steak,"King St W, Toronto",+1 766-188-6602,4.8
Grill Gate,middle_eastern,"Sheppard Ave W, N York",+1 802-610-5758,3.3
Hot Impression,chinese,"Queen St, Toronto",+1 614-437-9670,2.3
DakGoGi,korean,"Queen St, Toronto",+1 921-253-4802,1.9
San Tong,chinese;shandong,"Dundas St, Toronto",+1 847-287-6759,4.8
Sabor Brazil,brazilian,"St. Clair Ave W, Toronto",+1 780-864-2741,3.6
King's Delight,jamaican,"St. Clair Ave W, Toronto",+1 835-467-3624,5.0
Freshii,salad,"Hanna Ave, Toronto",+1 773-406-3357,1.3
Kibo Sushi,sushi,"E Liberty St, Toronto",+1 697-246-9590,2.1
Fire Wing’s Bar & Grill,Falafel,"Dundas St W, Toronto",+1 989-971-3035,2.8
Trattoria Leonardo,italian,"Dundas St W, Etobicoke",+1 947-682-2740,3.3
Kibo Sushi,sushi,"Dundas St W, Toronto",+1 771-973-3033,3.8
Pizzeria Via Napoli,italian,"Dundas St W, Toronto",+1 715-581-6906,2.0
Qinthai Cuisine,chinese,"Won Rd, Toronto",+1 766-972-9365,4.3
i-migo,japanese,"Bay St, Toronto",+1 611-414-1126,4.7
Zhang's Kitchen 张小厨,chinese,"Spadina Ave, Toronto",+1 849-354-1843,2.7
Crystal Palace,chinese,"Yonge St, Toronto",+1 902-244-7600,1.6
Palgong Tea,bubble_tea;korean,"Bay St, Toronto",+1 778-117-3066,3.3
Good Son,Sushi,"Queen St W, Toronto",+1 963-468-1154,3.5
Lao Thai,lao,"Gladstone Ave, Toronto",+1 712-914-1263,2.4
Convenience,Ramen,"Queen St W, Toronto",+1 834-416-1349,3.9
Nunu,ethiopian,"Queen St W, Toronto",+1 643-337-2829,3.0
Nuit Social,Salad,"Queen St W, Toronto",+1 732-229-5393,3.6
IKUNE by Après Wine Bar,japanese;sushi,"Queen St W, Toronto",+1 633-107-9686,2.5
Giulietta,Pizza,"College St, Toronto",+1 856-452-8559,1.3
Aloette,Pasta,"Spadina Ave, Toronto",+1 803-561-8671,2.8
Alo,Tacos,"Spadina Ave, Toronto",+1 750-253-5982,3.7
The Originals,BBQ,"Springhurst Ave, Toronto",+1 701-444-4410,3.0
Madre De Lobo,mexican,"King St W, Toronto",+1 829-171-2413,2.8
Tasty,Steak,"King St W, Toronto",+1 802-796-2109,3.4
Pit Stop Burger,Salad,"King St W, Toronto",+1 703-261-9422,1.3
Phở Asia 21,vietnamese,"King St W, Toronto",+1 976-923-6443,4.1
Rancho Relaxo to Go,mexican,"College St, Toronto",+1 923-597-3541,1.6
Entice,Tacos,"Queen St W, Toronto",+1 644-516-2725,4.2
Carmen,spanish,"Queen St W, Toronto",+1 682-584-5757,3.5
Jules Bistro,french,"Queen St W, Toronto",+1 962-905-5279,3.2
AMA,argentinian,"Queen St W, Toronto",+1 961-207-3450,2.3
Montgomery's,Pasta,"Queen St W, Toronto",+1 623-616-2050,4.7
byblos,Pasta,"Bay St, Toronto",+1 984-778-7120,3.5
The Alpine,Pizza,"Dundas St W, Toronto",+1 611-250-6244,4.3
EVOO,italian,"Ave Rd, Toronto",+1 686-101-6375,4.5
Hey Sugar | 嘿糖,bubble_tea,"Yonge St, Toronto",+1 859-204-8811,4.5
春 Chun Yang Taiwan Black Tea,tea,"Yonge St, Toronto",+1 761-322-4682,2.6
Te,Pizza,"Ossington Ave, Toronto",+1 615-624-8411,1.0
Tanto,Falafel,"Ossington Ave, Toronto",+1 960-764-5586,3.2
Mamakas,Pasta,"Ossington Ave, Toronto",+1 917-180-1500,4.9
Oddseoul,Steak,"Ossington Ave, Toronto",+1 983-248-7379,4.5
La Cubana,Pizza,"Ossington Ave, Toronto",+1 646-950-8545,1.0
Soos,malaysian,"Ossington Ave, Toronto",+1 650-754-1483,3.9
Indian Grill,indian,"Ossington Ave, Toronto",+1 844-713-4568,1.7
Côte de Bœuf,Sushi,"Ossington Ave, Toronto",+1 684-296-7997,2.0
Bazara,sushi,"Ossington Ave, Toronto",+1 906-145-9388,5.0
Superpoint,Pasta,"Ossington Ave, Toronto",+1 999-463-1229,4.2
Monkey Sushi,Falafel,"Ossington Ave, Toronto",+1 991-364-8406,2.8
Manita,breakfast;burger;sandwich,"Ossington Ave, Toronto",+1 812-184-1216,3.4
Paris Paris,Ramen,"Dundas St W, Toronto",+1 828-409-9715,4.5
Brasileirissimo Steak House,brazilian,"Dundas St W, Toronto",+1 751-534-7161,3.0
Churrasqueira do Sardinha,Salad,"Dundas St W, Toronto",+1 928-743-1360,1.6
Soso Food Club,Ramen,"Dundas St W, Toronto",+1 670-348-5147,3.9
Ossington Stop,Ramen,"Dundas St W, Toronto",+1 936-354-5812,2.9
Bar Sybanne,Salad,"Ossington Ave, Toronto",+1 915-943-3736,4.2
Moliceiro,portuguese,"Ossington Ave, Toronto",+1 908-922-7400,2.8
Foxley,Burger,"Ossington Ave, Toronto",+1 748-205-9881,3.5
Böhmer,Falafel,"Ossington Ave, Toronto",+1 650-489-5513,1.0
Pastiche,BBQ,"Ossington Ave, Toronto",+1 899-530-7573,4.1
Chinese Burger 肉来谟,chinese,"College St, Toronto",+1 929-515-1686,4.5
T.C.J. Restaurant,asian,"Spadina Ave, Toronto",+1 863-534-3317,4.7
120 Diner,Ramen,"Church St, Toronto",+1 632-421-4944,2.9
Maezo,Steak,"Bay St, Toronto",+1 943-275-3061,1.1
Flock Rotisserie & Greens,Ramen,"Dundas St, Toronto",+1 880-924-8457,3.5
Modus Ristorante,Sushi,"Dundas St, Toronto",+1 758-179-5084,1.7
Lemongrass,thai,"Bayview Ave, Toronto",+1 973-627-2812,3.9
Liberty Commons,Pizza,"Queen St, Toronto",+1 843-731-9316,1.9
Alobar,Ramen,"Cumberland St, Toronto",+1 934-159-7747,2.2
West Mall Bloor Fish & Chips,fish_and_chips,"The W Mall, Toronto",+1 898-221-9532,2.6
Squirly's,international,"Yonge St, Toronto",+1 675-356-2565,1.9
Thai Elephant,thai,"King St, Toronto",+1 636-368-4352,1.5
First Choice Restaurant,portuguese,"Dundas St W, Toronto",+1 844-596-9440,1.0
Toast on Bloor,Pasta,"Bloor St W, Toronto",+1 934-845-5088,1.3
Bonimi,Tacos,"Bloor St W, Toronto",+1 633-813-9175,2.4
Roti Palace of India,indian,"Bloor St W, Toronto",+1 724-859-7412,3.5
Casa Barcelona,spanish,"Bloor St W, Toronto",+1 855-499-2455,2.6
Joyous Thai Phaze 2,thai,"Royal York Rd, Toronto",+1 967-866-3763,1.8
La Veranda Osteria,italian,"Royal York Rd, Toronto",+1 694-784-2721,1.1
Breakfast Room,breakfast,"Royal York Rd, Toronto",+1 801-106-2737,4.2
Mekong River,asian,"Dundas St W, Toronto",+1 715-728-8913,4.0
Sushi Sumoboi,sushi,"Dundas St W, Toronto",+1 777-461-2940,1.7
Insadong,korean,"Dundas St W, Toronto",+1 842-822-7461,3.6
Istar Restaurant,Ramen,"College St, Toronto",+1 627-117-6748,3.3
Union Chicken,Sushi,"The W Mall, Toronto",+1 622-233-5951,4.2
Flamingo's Restaurant and Bar,Pasta,"Queen St, Toronto",+1 891-245-4295,4.8
We Kitchen,Sushi,"College St, Toronto",+1 667-628-1491,2.4
South Indian Dosa Mahal,indian,"Roncesvalles Ave, Toronto",+1 853-711-5017,4.5
Moxie's,bar&grill,"Yonge St, Toronto",+1 784-500-5532,1.5
Turtle Jack's Muskoka Grill,Pasta,"College St, Toronto",+1 829-968-5952,2.5
Stop,Steak,"Roncesvalles Ave, Toronto",+1 844-775-5183,2.2
Hakka Wok Hei,chinese,"Roncesvalles Ave, Toronto",+1 813-436-5199,2.8
Aris Place,Pizza,"Roncesvalles Ave, Toronto",+1 945-571-5147,4.6
Chubby's Fish and Chips,fish_and_chips,"Queen St, Toronto",+1 681-103-2149,4.0
Hakka Cottage,Sushi,"Spadina Ave, Toronto",+1 787-264-5903,4.7
Faley Restaurant,Pizza,"College St, Toronto",+1 880-396-4998,3.9
Baghlan Kebob & Bakery,kebab,"Bloor St, Toronto",+1 996-652-9281,2.4
Hamdi Restaurant,Burger,"Queen St, Toronto",+1 731-545-1869,3.7
Red Rock Restaurant,Burger,"College St, Toronto",+1 679-449-5088,2.9
Wally's Grill,Pasta,"King St, Toronto",+1 638-191-2424,4.1
Snapper's Paradise,jamaican,"College St, Toronto",+1 830-677-2765,4.3
Ummai Restaurant,indian,"King St, Toronto",+1 672-907-8958,1.5
Al-Aruba Restaurant,somali,"Dundas St, Toronto",+1 827-187-4535,2.2
Etob Restaurant,Pizza,"Dundas St, Toronto",+1 954-768-8333,2.1
Caribbean Heat 2,chinese;caribbean,"Albion Rd, Toronto",+1 676-177-5671,4.3
876 Jamrock Restaurant,caribbean,"Finch Ave W, Toronto",+1 812-523-9360,3.2
Tandoori Sangham,indian,"Queen St, Toronto",+1 605-234-5667,1.8
Lucky Star,chinese,"Yonge St, Toronto",+1 737-910-4570,3.7
Real Island Flavour,jamaican,"Yonge St, Toronto",+1 808-596-7088,3.3
Red Kaoliang,chinese,"Martin Grove Rd, Toronto",+1 932-839-6867,4.1
Noodle Me,chinese,"Bloor St W, Toronto",+1 932-620-3472,3.4
Kenkou Shushi,sushi,"Bloor St W, Toronto",+1 904-596-9775,2.6
Shakey's,canadian,"Bloor St W, Toronto",+1 652-765-3786,1.4
The Works,burger,"Bloor St W, Toronto",+1 680-739-6789,3.4
Bukhara Grill,indian,"Bloor St W, Toronto",+1 899-893-5082,2.2
Golden Star,chinese,"Bay St, Toronto",+1 977-652-3761,3.7
Crave Grill House,steak_house,"Yonge St, Toronto",+1 777-167-5985,3.5
Wok of Asia,chinese;thai,"Spadina Ave, Toronto",+1 872-637-4983,1.2
Kenzo Ramen,japanese,"Bloor St W, Toronto",+1 751-431-9215,3.3
The Chulo,indian,"Bay St, Toronto",+1 758-163-1222,3.5
Szechuan Noodle Bowl,Falafel,"Bloor St W, Toronto",+1 617-187-8098,2.2
The Fry,korean,"Bloor St W, Toronto",+1 949-901-8571,1.9
Tonkatsu,Salad,"Bloor St W, Toronto",+1 698-515-3584,2.1
Industry Snack Bar,Falafel,"College St, Toronto",+1 893-477-8451,2.4
East Coast Donair & Grill,kebab,"Bloor St W, Toronto",+1 728-340-4184,1.9
Ramen x Remix,ramen,"Queen St W, Toronto",+1 889-586-6192,1.6
Vịt Béo,Burger,"Bloor St, Toronto",+1 833-170-5024,3.4
Little Sito,lebanese,"College St, Toronto",+1 697-160-4267,3.9
Christie Pits Pub,Sushi,"Queen St, Toronto",+1 963-178-4687,2.2
Selam Restaurant & Lounge,ethiopian;eritrean,"Bloor St W, Toronto",+1 833-406-6405,1.3
Thai Room,thai;malaysian,"Bloor St W, Toronto",+1 871-549-3477,4.8
Pizza Hut,pizza,"Bloor St W, Toronto",+1 856-135-3324,3.3
BBQ @ Bloor,barbecue,"Bloor St W, Toronto",+1 693-224-6369,4.0
La Bella Managua,nicaraguan,"Bloor St W, Toronto",+1 949-699-1857,1.2
Laziza,mediterranean,"Bloor St W, Toronto",+1 758-149-5704,2.3
Sunset Grill,american,"King St, Toronto",+1 732-614-1451,4.7
Ginger Pho,vietnamese,"Yonge St, Toronto",+1 863-197-4667,3.7
Bonita Restaurant,Steak,"Bay St, Toronto",+1 603-126-4579,3.0
Nettebello,pizza,"Yonge St, Toronto",+1 893-837-9817,2.8
Weston BBQ Restaurant,barbecue,"Spadina Ave, Toronto",+1 886-840-7619,5.0
Celebrity Chef,caribbean,"Won Rd, Toronto",+1 926-302-7398,2.1
Made's Kitchen,african,"Won Rd, Toronto",+1 822-550-4946,2.3
Wiff Restaurant,african;italian,"Won Rd, Toronto",+1 683-412-5720,2.7
SSS Jamaican Restaurant,jamaican,"Won Rd, Toronto",+1 894-893-1980,3.7
Living Well,Falafel,"Won Rd, Toronto",+1 754-352-3380,3.7
Happy Cub Bar & Restaurant,Pasta,"Bloor St W, Toronto",+1 823-387-9947,1.5
Glass Onion Bistro,BBQ,"Bloor St W, Toronto",+1 696-703-3458,1.6
Fishman Lobster Clubhouse Restaurant,seafood,"Dundas St, Toronto",+1 900-206-7584,2.2
China Island Restaurant,Steak,"Bloor St W, Toronto",+1 984-154-6521,1.4
Yak & Yet,asian,"Bloor St W, Toronto",+1 626-433-6261,4.3
Golden Crisp Fish & Chips,fish_and_chips,"Bay St, Toronto",+1 918-875-3640,2.0
African Player Restaurant,african,"Won Rd, Toronto",+1 615-842-2498,4.9
V's Caribbean Restaurant,caribbean,"College St, Toronto",+1 652-545-1036,3.3
20 Doner Bar-Grill,kebab,"College St, Toronto",+1 845-319-3911,1.7
EwhaDang Food,korean,"Dundas St, Toronto",+1 720-219-6374,4.1
Meechies BBQ & Jerk,jamaican,"College St, Toronto",+1 770-600-1899,2.4
K&A Caribbean,caribbean,"Queen St, Toronto",+1 874-642-1571,2.5
First Class Delites,jamaican,"Bloor St, Toronto",+1 960-992-7770,4.7
Menalon Restaurant,Steak,"Bloor St W, Toronto",+1 821-667-9126,3.7
Tapi Go!,brazilian,"Bloor St W, Toronto",+1 689-482-3893,3.6
Siki Sushi,japanese,"Bloor St W, Toronto",+1 912-965-8956,4.6
Terroni Sterling,southern_italian;italian,"Sterling Rd, Toronto",+1 786-106-9276,2.2
Bourbon Street Smokehouse,Ramen,"Bloor St W, Toronto",+1 970-645-4532,2.6
Levant,Tacos,"Bloor St W, Toronto",+1 929-908-4028,1.3
Maida Restaurant & Lounge,ethiopian,"Bloor St W, Toronto",+1 883-979-9893,2.5
Atlantis Restaurant,Falafel,"Bloor St W, Toronto",+1 760-427-1763,3.2
Mazz Sushi,japanese;korean,"Bloor St W, Toronto",+1 929-268-8017,1.4
Wenona,Pasta,"Bloor St W, Toronto",+1 737-904-2724,3.7
Idle,Falafel,"Bloor St W, Toronto",+1 891-427-1060,1.4
Open House,Burger,"Bloor St W, Toronto",+1 977-179-2249,4.1
Hana Sushi,sushi,"Bloor St W, Toronto",+1 649-812-7137,1.6
Azteca Restaurant,mexican;latin_american,"Spadina Ave, Toronto",+1 636-781-7438,1.0
Vena's Restaurant,caribbean,"Bloor St W, Toronto",+1 962-497-1529,1.3
Huatai Restaurant,chinese,"King St, Toronto",+1 888-147-4408,4.4
The Nutmeg Spot,caribbean,"Won Rd, Toronto",+1 668-662-7927,2.4
Dragon House Chinese Food,chinese,"Won Rd, Toronto",+1 612-249-9677,1.2
Beiramar,Pasta,"Won Rd, Toronto",+1 910-642-7113,1.3
Id Love Restaurant & Bar,Steak,"Won Rd, Toronto",+1 704-580-3140,3.1
Vila Verda Bar and Grill,Salad,"Queen St, Toronto",+1 771-217-4101,1.7
House of Te,chinese,"Queen St, Toronto",+1 682-291-3501,1.4
Mi Pueblo Lindo,Salad,"Spadina Ave, Toronto",+1 783-791-9372,1.0
The Suya Spot,african,"Spadina Ave, Toronto",+1 872-292-7808,2.5
Thai by the Park,thai,"Bloor St W, Toronto",+1 980-961-8545,2.4
Viajero Cantina,mexican,"Bloor St W, Toronto",+1 603-288-1071,3.5
Caribu West Indian Cuisine,caribbean,"Bay St, Toronto",+1 863-362-9009,3.1
Golden Star Restaurant,chinese;caribbean,"Dundas St, Toronto",+1 814-766-1214,4.7
"Bun Bo Hue, Pho",vietnamese,"Bay St, Toronto",+1 861-636-4840,2.7
Naijaa Restaurant,african,"Queen St, Toronto",+1 856-872-3431,1.9
Las Fronteras,latin_american,"King St, Toronto",+1 600-637-9980,4.4
Regina Noodle Products,Tacos,"Yonge St, Toronto",+1 638-160-2551,4.6
Karahi Point,indian,"Finch Ave W, Toronto",+1 944-655-7294,4.9
Bajra,indian,"Queen St, Toronto",+1 982-549-9772,4.8
Mannat Indian & Hakka Bar,Steak,"King St, Toronto",+1 619-952-5928,1.0
De Place Restaurant & Bar,african,"Spadina Ave, Toronto",+1 818-902-7486,2.4
Lotus Vegetarian Restaurant,vietnamese,"King St, Toronto",+1 792-964-7033,4.8
Malado Sushi,sushi,"College St, Toronto",+1 688-396-9825,3.4
Thuy Restaurant,vietnamese,"Dundas St, Toronto",+1 731-950-1622,2.2
Pho Dau Bo,vietnamese,"King St, Toronto",+1 881-851-2494,4.9
Dac Biet,vietnamese,"Yonge St, Toronto",+1 775-810-8068,3.5
Fort York Pizzeria,pizza,"College St, Toronto",+1 697-411-1048,4.7
Hopscotch,Tacos,"Bay St, Toronto",+1 935-903-5047,4.1
Roses New York,Ramen,"Yonge St, Toronto",+1 777-707-2566,2.9
Pupuseria Salvadorena Grill,latin_american,"Bay St, Toronto",+1 863-871-2195,1.1
Lacostenita,latin_american,"Bloor St, Toronto",+1 603-359-3199,2.0
Lucky Garden Restaurant,chinese;caribbean,"Spadina Ave, Toronto",+1 899-535-6150,4.8
Punjabi Taste,indian,"King St, Toronto",+1 666-650-1241,4.2
Las Calenas,latin_american,"Dundas St, Toronto",+1 860-668-7203,4.9
Pho Ha Long Restaurant,vietnamese,"King St, Toronto",+1 630-423-1343,4.9
Peppers Caribbean Restaurant,caribbean,"Queen St, Toronto",+1 726-692-6706,4.1
Vangi Food,indian,"Bay St, Toronto",+1 777-147-4131,4.2
Barcelona Tavern,Steak,"Atlantic Ave, Toronto",+1 920-721-6819,4.8
Lucky Sweets & Restaurant,indian,"Bloor St, Toronto",+1 751-714-8881,3.7
Seor Ak San,korean,"Bloor St W, Toronto",+1 917-194-8620,4.4
Daldongnae,BBQ,"Bloor St W, Toronto",+1 725-313-9661,4.5
K-Seoul Hotdog,hot_dog,"Bloor St W, Toronto",+1 813-747-8774,3.5
Yummy Korean Restaurant,asian;korean,"Bloor St W, Toronto",+1 841-387-2901,1.7
Mapo Korean Restaurant,barbecue;korean,"Bloor St W, Toronto",+1 720-315-9145,3.2
The Owl on Bloor,BBQ,"College St, Toronto",+1 705-711-9152,2.7
Paldo Gang San,korean,"College St, Toronto",+1 767-167-1541,2.1
Nang Saigon,vietnamese,"Bloor St W, Toronto",+1 823-897-9007,3.9
Belly Buster,Sushi,"Bloor St W, Toronto",+1 925-910-6334,4.1
Cafe Landwer,Ramen,"Spadina Ave, Toronto",+1 634-719-1320,2.3
SunRise Caribbean Restaurant,caribbean,"Wilson Ave, Toronto",+1 778-142-1830,3.2
Pho Tien Phat,vietnamese;thai,"Bloor St, Toronto",+1 653-990-9865,3.9
Lucky's Corner,caribbean,"Spadina Ave, Toronto",+1 664-674-2017,1.0
Sabor del Pacifico,latin_american,"Bloor St, Toronto",+1 963-129-8842,5.0
Pelmo Family Restaurant,chinese,"Dundas St, Toronto",+1 805-510-9022,1.7
JIn Dal Lae Korean Restaurant,korean,"Bloor St W, Toronto",+1 857-717-7667,1.1
Regal Garden Chinese Restaurant,chinese,"Bloor St W, Toronto",+1 893-672-8371,3.8
Jasmin's Grill,Ramen,"College St, Toronto",+1 933-587-7739,1.6
Buddha Chay,Falafel,"Dundas St, Toronto",+1 891-622-5792,2.5
El Takito,mexican,"Queen St, Toronto",+1 823-284-7167,2.3
Esquina Salvadorena,latin_american,"King St, Toronto",+1 815-242-4921,2.6
Lloyd's,african,"King St, Toronto",+1 668-158-2757,1.5
De Blue Note Lounge,african,"Bay St, Toronto",+1 830-443-4610,3.3
Cho Ming's Restaurant,chinese,"Bay St, Toronto",+1 706-176-2586,1.9
Milagro,Pasta,"Bloor St, Toronto",+1 894-336-5574,4.9
Karahi Boys,Salad,"Queen St, Toronto",+1 975-133-5823,1.5
The Kettle Modern Indian Canadian Food,indian,"Queen St W, Toronto",+1 957-246-9454,2.4
